## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/RRP6_2YP_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_2YP_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/RRP6_2YP_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 17:28:40 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
256	247	39	2	1376575	275.836478	2341.21907	18385273	FR	15	31	45	61	79	99	125	157	209	263	491			
220	55662	198	2	1335472	51807.767453	139634.070256	4111	RF	121	227	303	359	397	435	2007	110885	220971	694493	1529909			
184	182	74	2	1339745	70255.116686	168998.514237	7893	TANDEM	27	53	81	113	149	191	263	165543	541249	901809	1591761			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	21	19	1
3	21	25	2
4	27	18	0
5	26	17	0
6	15	12	1
7	18	15	3
8	24	18	0
9	21	18	0
10	19	21	1
11	30	10	1
12	26	20	5
13	26	30	2
14	20	22	1
15	31	23	0
16	31	21	0
17	32	23	1
18	40	21	0
19	299	27	1
20	87	14	2
21	78	15	2
22	813	21	2
23	65	27	2
24	71	23	1
25	88	21	2
26	100	31	4
27	76	24	7
28	285	26	3
29	54	21	5
30	466	18	10
31	69	21	3
32	359	19	7
33	131	25	8
34	92	17	11
35	392	15	6
36	85	25	8
37	78	17	3
38	70	12	8
39	112	15	13
40	92	11	3
41	104	20	13
42	483	19	10
43	152	14	13
44	102	11	9
45	133	19	9
46	157	12	7
47	142	12	8
48	166	17	12
49	158	11	8
50	174	13	10
51	1896	17	14
52	232	15	12
53	168	12	6
54	758	12	14
55	248	18	9
56	216	10	16
57	228	18	13
58	589	13	11
59	243	6	15
60	249	11	17
61	252	15	13
62	294	12	13
63	388	8	11
64	328	8	16
65	361	13	12
66	385	15	22
67	407	13	13
68	319	10	15
69	320	8	15
70	427	12	15
71	476	11	13
72	523	12	19
73	616	5	9
74	608	10	14
75	768	8	20
76	667	7	20
77	783	9	13
78	728	10	34
79	769	10	16
80	905	11	16
81	999	8	18
82	1074	12	31
83	985	10	15
84	1064	15	18
85	1269	9	18
86	1320	7	22
87	1384	9	18
88	1564	9	26
89	1704	13	19
90	1710	6	25
91	1825	5	30
92	1910	5	21
93	1882	11	29
94	2104	7	25
95	3023	7	14
96	2331	8	33
97	2616	8	27
98	2758	10	25
99	2748	9	29
100	2953	6	29
101	3043	7	42
102	3361	7	31
103	3467	12	26
104	3566	7	23
105	3690	9	40
106	4045	8	26
107	4463	5	29
108	4495	2	32
109	4641	7	37
110	4936	7	23
111	5115	4	31
112	5226	5	26
113	5567	9	40
114	5816	7	31
115	5899	6	34
116	6456	10	25
117	6579	8	22
118	7039	6	32
119	7223	5	24
120	7358	7	26
121	7778	8	29
122	8063	4	35
123	8235	6	36
124	8739	12	45
125	8840	10	39
126	9253	7	27
127	9610	5	24
128	10289	7	40
129	10518	5	27
130	10769	2	29
131	11316	4	33
132	11709	4	33
133	11961	9	23
134	12451	6	22
135	12896	7	34
136	13407	6	36
137	13833	7	40
138	14265	7	42
