## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/WT_3_YPD_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_3_YPD_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/WT_3_YPD_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 17:10:42 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
253	245	39	2	1365532	271.104257	2134.254222	16132806	FR	15	29	45	61	79	99	123	155	205	259	525			
222	55662	202	2	1203071	43622.940825	124046.474823	3515	RF	127	225	311	367	405	441	1769	110881	198839	548467	1433329			
174	134	68	2	1382336	58929.779373	159976.487518	7524	TANDEM	27	53	79	105	137	171	227	1729	435809	867831	1589773			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	13	17	4
3	19	22	1
4	16	16	0
5	13	20	1
6	15	16	2
7	20	15	2
8	17	18	0
9	23	11	0
10	10	14	1
11	20	20	1
12	25	19	2
13	16	28	1
14	22	23	2
15	24	12	2
16	17	20	1
17	30	15	4
18	29	19	3
19	201	26	2
20	81	17	0
21	73	18	0
22	863	20	2
23	64	16	3
24	70	12	9
25	81	18	3
26	109	20	4
27	68	20	7
28	275	14	3
29	46	23	8
30	499	18	5
31	49	24	10
32	360	22	12
33	135	9	6
34	66	14	6
35	451	7	7
36	91	19	8
37	76	17	4
38	69	16	5
39	100	13	9
40	93	21	9
41	100	13	8
42	556	11	9
43	185	10	10
44	111	14	10
45	181	9	14
46	162	14	15
47	135	11	8
48	159	9	12
49	162	14	14
50	154	11	11
51	2080	9	16
52	231	8	15
53	149	8	9
54	799	5	12
55	257	6	11
56	186	7	17
57	177	16	12
58	603	9	10
59	204	20	15
60	210	12	18
61	240	4	12
62	228	11	19
63	360	12	11
64	296	11	10
65	297	8	14
66	362	9	13
67	341	8	16
68	306	9	22
69	312	6	23
70	362	7	19
71	384	6	26
72	474	8	18
73	528	4	20
74	491	8	12
75	677	11	30
76	546	10	25
77	630	10	21
78	671	9	15
79	642	7	13
80	776	5	19
81	861	5	21
82	905	8	24
83	872	9	22
84	916	10	21
85	1073	3	29
86	1104	7	24
87	1183	5	21
88	1260	8	19
89	1332	5	21
90	1407	7	26
91	1536	7	30
92	1589	5	19
93	1582	7	30
94	1691	5	42
95	2615	7	28
96	1940	5	26
97	2062	5	28
98	2274	12	41
99	2348	5	21
100	2411	7	32
101	2602	6	29
102	2985	4	23
103	2924	8	43
104	3095	8	46
105	3245	7	20
106	3437	7	34
107	3887	4	27
108	3860	4	39
109	4000	3	34
110	4238	10	34
111	4391	5	33
112	4571	7	35
113	4943	6	38
114	4983	5	26
115	5579	6	35
116	5591	7	35
117	5851	5	36
118	6002	6	38
119	6615	2	28
120	6558	7	35
121	7014	5	38
122	7211	10	26
123	7514	4	34
124	7753	5	39
125	8086	2	29
126	8277	8	37
127	8666	8	39
128	9204	4	37
129	9622	4	28
130	10043	10	35
131	10335	6	34
132	10690	3	36
133	10865	4	38
134	11293	6	48
135	11780	10	32
136	12090	7	35
137	12809	9	46
138	13038	5	33
139	13802	5	32
140	14530	6	34
141	14696	4	37
142	15714	2	48
143	15440	3	34
144	16350	3	42
145	17124	6	29
146	17575	6	31
147	18186	2	30
148	18890	7	45
149	19207	6	31
150	20172	4	40
151	20965	9	34
152	21779	7	41
153	22098	8	23
154	22948	5	34
155	23233	6	28
156	24087	4	37
157	25299	3	33
158	26116	8	38
159	26781	7	37
160	27705	6	27
161	28724	3	33
162	28933	7	35
163	30083	2	32
164	31181	2	27
165	31802	4	34
166	33085	3	33
167	33698	6	24
168	34488	6	24
169	35222	3	24
170	36682	2	25
171	37403	4	33
172	38842	4	35
173	40143	2	25
174	40964	6	32
175	42435	5	32
176	43227	4	20
177	44548	4	20
178	45766	2	28
179	46978	0	29
180	48123	3	25
181	49345	5	17
182	50411	2	32
183	51321	3	30
184	52942	4	31
185	54328	2	23
186	55443	3	25
187	56656	0	28
188	57773	2	34
189	59322	3	17
190	60649	4	29
191	62137	5	34
192	63111	5	23
193	64815	3	28
194	66048	4	21
195	66592	5	32
196	68630	3	28
197	70366	0	14
198	71489	4	29
199	72819	2	23
200	74197	6	22
201	74694	3	24
202	76757	5	27
203	78196	6	19
204	80390	4	25
205	80713	6	23
206	82295	4	20
207	82778	3	25
208	85026	4	23
209	86096	6	27
210	87247	4	22
211	89048	4	24
212	90477	2	28
213	91312	2	20
214	92387	3	15
215	94503	0	17
216	94288	5	20
217	96593	5	25
218	97978	3	19
219	98593	1	24
