## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/RRP6_3YP_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_3YP_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/RRP6_3YP_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 17:32:35 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
252	245	38	2	1405388	270.373948	2182.544936	16558955	FR	15	29	45	61	77	97	121	151	203	255	493			
224	55662	201	2	1306112	44269.888602	120783.045557	3483	RF	125	225	303	365	403	441	2659	110877	198841	565651	1334397			
179	143	69	2	1311923	69635.386563	169210.823348	7189	TANDEM	27	51	77	107	139	181	247	104331	541935	903443	1580881			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	16	13	2
3	19	16	4
4	19	11	0
5	24	14	0
6	13	21	0
7	12	15	1
8	15	24	0
9	20	10	1
10	13	15	0
11	22	13	2
12	26	10	1
13	17	18	0
14	22	21	1
15	19	16	0
16	17	22	3
17	22	12	1
18	22	23	0
19	339	16	3
20	109	17	4
21	79	19	3
22	850	19	4
23	50	19	3
24	79	17	1
25	113	21	3
26	117	21	0
27	67	17	8
28	286	17	5
29	72	13	4
30	470	19	5
31	49	17	6
32	309	15	6
33	93	18	5
34	64	24	6
35	407	19	6
36	79	19	7
37	66	8	7
38	66	19	6
39	88	12	6
40	89	17	4
41	98	18	7
42	461	9	10
43	171	14	8
44	116	12	3
45	142	16	6
46	152	13	8
47	142	6	10
48	154	18	6
49	171	13	10
50	132	8	7
51	1815	12	12
52	216	16	9
53	139	10	10
54	761	11	5
55	264	10	7
56	161	8	11
57	182	8	7
58	572	7	21
59	190	5	13
60	211	4	12
61	222	11	12
62	249	7	13
63	348	7	15
64	318	10	6
65	305	8	14
66	354	13	13
67	324	12	14
68	279	7	21
69	268	16	9
70	393	10	23
71	379	14	14
72	443	6	16
73	481	7	13
74	484	14	13
75	593	12	14
76	580	8	18
77	596	8	21
78	612	5	20
79	682	12	16
80	782	8	21
81	866	12	21
82	845	13	16
83	813	15	16
84	902	12	24
85	1031	3	25
86	1058	7	23
87	1078	6	18
88	1245	5	20
89	1306	5	25
90	1406	7	26
91	1436	4	18
92	1531	7	27
93	1473	4	24
94	1765	9	27
95	2492	6	28
96	1862	6	23
97	2043	4	28
98	2232	11	24
99	2257	4	29
100	2424	3	25
101	2531	3	29
102	2842	6	28
103	2973	6	19
104	2997	1	36
105	3220	5	22
106	3567	7	29
107	3924	8	33
108	3692	2	27
109	3953	5	29
110	4046	8	26
111	4382	7	35
112	4571	9	35
113	4883	5	28
114	5150	4	27
115	5205	4	36
116	5412	3	35
117	5691	8	27
118	6158	7	35
119	6514	8	27
120	6501	4	34
121	7062	4	31
122	7093	4	27
123	7384	7	31
124	7751	4	24
125	8026	7	37
126	8436	7	32
127	8691	8	29
128	8977	7	36
129	9588	5	30
130	10102	4	30
131	10297	0	40
132	10769	6	28
133	10880	5	38
134	11421	5	38
135	11990	7	42
136	12024	5	40
137	12562	1	36
138	13097	5	27
139	13955	8	32
140	14688	4	25
141	14629	5	39
142	15855	9	36
143	15880	7	49
144	16536	5	30
145	17055	2	36
146	18094	5	36
147	18314	5	34
148	19256	6	31
149	19816	4	30
150	20524	2	40
151	21204	5	39
152	21735	8	34
153	22196	4	33
154	23374	1	37
155	23840	3	42
156	24769	4	27
157	25563	4	35
158	26517	6	34
159	27267	3	27
160	28086	6	36
161	29243	5	23
162	29616	7	31
163	30532	8	38
164	31954	5	25
165	32647	8	42
166	33682	7	41
167	34496	0	32
168	35253	7	31
169	36188	0	30
170	38043	6	29
171	38399	1	37
172	39813	5	26
173	41173	6	28
174	42463	1	22
175	43635	3	32
176	44575	5	28
177	45808	2	41
178	47304	4	26
179	48278	3	31
180	49425	4	22
181	50690	2	26
182	52378	1	28
183	53006	5	25
184	54622	2	18
185	55420	3	32
186	57040	3	33
187	58715	4	19
188	59703	3	29
189	60716	6	27
190	62256	6	29
191	64117	1	16
192	65494	0	32
193	66963	5	35
194	68098	2	24
195	69116	4	27
196	71006	1	21
197	72822	1	25
198	73987	3	26
199	75574	2	21
200	76947	5	15
201	77877	2	22
202	79802	2	19
203	81129	4	20
204	82925	3	21
205	84158	3	20
206	85183	2	21
207	86000	5	18
208	87769	5	20
209	89903	6	26
210	90835	5	21
211	92689	3	13
212	93851	5	19
213	94824	5	17
214	96574	1	26
215	98176	6	18
216	98707	2	12
217	100481	2	17
218	101156	1	16
219	102226	5	22
220	103852	1	16
221	105317	2	20
222	105872	4	25
223	107749	1	18
224	108655	2	15
225	109018	2	13
226	109858	2	15
227	110713	5	15
228	110652	5	15
229	112714	1	14
230	112668	2	13
231	113789	4	9
232	114885	3	11
233	115013	9	18
234	114763	1	15
235	116049	4	11
