## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/WT_2_YPD_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_2_YPD_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/WT_2_YPD_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 17:07:07 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
252	247	39	2	1180004	270.290256	2244.700662	17143323	FR	15	31	45	61	79	99	123	155	207	259	485			
231	55662	210	2	1163777	47150.309747	124116.308037	3519	RF	133	245	327	385	421	457	3931	110863	220763	598109	1370059			
175	116	67	3	1405202	61782.222906	163192.229343	7963	TANDEM	27	51	77	105	135	171	225	15935	445811	867657	1588949			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	20	17	0
3	18	21	2
4	15	18	2
5	26	26	1
6	23	19	1
7	24	15	2
8	17	15	1
9	28	10	1
10	19	11	0
11	20	12	0
12	22	17	1
13	22	12	1
14	18	18	0
15	29	27	0
16	25	19	2
17	26	20	2
18	32	20	1
19	248	27	1
20	80	21	1
21	80	13	4
22	970	24	1
23	74	27	4
24	80	23	4
25	105	12	4
26	169	20	9
27	84	19	8
28	353	24	3
29	76	16	8
30	650	17	7
31	58	21	8
32	608	21	4
33	158	18	7
34	81	11	9
35	577	18	12
36	115	13	6
37	74	15	7
38	70	17	5
39	125	14	11
40	94	12	5
41	108	13	7
42	560	17	8
43	182	16	8
44	129	14	14
45	180	17	10
46	186	15	9
47	192	10	11
48	200	14	10
49	226	15	14
50	197	10	13
51	2908	13	9
52	295	11	16
53	183	7	12
54	989	8	10
55	290	10	10
56	264	9	10
57	233	8	8
58	813	4	16
59	263	10	10
60	269	8	12
61	318	7	10
62	334	10	15
63	443	10	17
64	403	9	13
65	450	7	17
66	484	7	11
67	464	8	13
68	442	9	16
69	388	6	22
70	522	7	21
71	538	12	12
72	606	8	16
73	707	5	14
74	734	8	23
75	956	3	18
76	795	8	19
77	856	15	19
78	885	10	25
79	973	6	28
80	1103	6	17
81	1215	8	24
82	1252	4	19
83	1191	7	33
84	1180	10	28
85	1577	5	44
86	1629	2	33
87	1645	3	21
88	1809	3	27
89	1846	7	27
90	1948	7	27
91	2097	7	28
92	2146	6	23
93	2233	8	34
94	2378	4	33
95	3241	9	25
96	2715	8	32
97	2786	5	32
98	3009	6	34
99	3107	7	23
100	3297	6	24
101	3420	10	42
102	3660	4	41
103	3791	4	28
104	3908	12	36
105	4089	6	35
106	4422	12	34
107	4990	7	24
108	4927	5	35
109	5029	5	37
110	5325	8	36
111	5562	5	36
112	5747	6	28
113	6040	7	27
114	6303	5	42
115	6674	6	45
116	6635	6	51
117	6958	4	35
118	7500	12	25
119	7860	5	39
120	8048	6	45
121	8531	7	49
122	8605	7	32
123	8974	4	45
124	9112	8	36
125	9257	6	32
126	9881	5	34
127	10400	9	33
128	10765	2	29
129	11255	3	34
130	11770	5	36
131	11800	1	26
132	12598	4	34
133	12790	3	43
134	13216	2	39
135	13716	4	41
136	14374	2	38
137	14395	3	42
138	15017	2	43
139	15884	4	44
140	16276	1	35
141	16877	6	36
142	17830	5	36
143	18054	2	34
144	18499	0	29
145	19129	4	37
146	19958	4	35
