## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/U_R_2YPD_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_2YPD_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/U_R_2YPD_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 16:56:47 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
245	242	37	2	1465341	263.067767	2143.01524	17887551	FR	15	29	43	57	75	93	117	147	197	247	471			
233	55662	211	2	1380662	47699.095376	136800.568126	3806	RF	135	237	319	383	423	461	5833	110859	198863	602521	1574369			
183	131	77	4	1406250	79552.098799	180157.71626	7662	TANDEM	29	57	87	119	155	201	291	274657	569685	928999	1592631			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
237	132598	3	13
238	133591	3	12
239	133966	4	12
240	133140	3	12
241	133647	1	10
242	134094	5	12
243	133317	2	7
244	133260	2	12
245	133775	2	8
246	133150	3	13
247	132749	0	12
248	131905	2	12
249	131821	2	8
250	130684	3	14
251	129985	1	14
252	129797	2	8
253	128819	2	11
254	127978	1	8
255	126839	1	7
256	126661	3	7
257	125475	2	11
258	124067	2	5
259	124071	0	8
260	122840	1	5
261	121236	1	5
262	119717	1	7
263	119738	3	9
264	118058	3	10
265	117485	0	6
266	116726	1	10
267	114892	2	5
268	114063	1	6
269	113007	3	5
270	111478	1	7
271	110871	4	4
272	109189	2	6
273	107727	0	5
274	106066	0	6
275	105176	3	4
276	103549	0	5
277	102428	0	7
278	101361	2	5
279	99300	1	6
280	98229	1	7
281	97232	0	6
282	94965	1	7
283	93627	5	3
284	92626	0	6
285	91734	4	3
286	90756	2	4
287	89064	5	6
288	87229	0	1
289	85979	0	3
290	84007	1	2
291	82034	1	5
292	81178	6	1
293	79582	2	2
294	78300	1	5
295	77356	2	9
296	75713	2	3
297	74143	2	1
298	73058	3	4
299	71849	3	4
300	69801	2	3
301	68787	2	3
302	67384	4	3
303	65348	1	1
304	64414	3	4
305	63447	2	4
306	61975	1	5
307	60697	2	8
308	59811	0	3
309	58320	4	2
310	57527	6	3
311	56307	2	2
312	54748	1	3
313	53643	2	0
314	52526	1	2
315	51269	2	2
316	50647	1	2
317	49475	1	0
318	47899	3	5
319	47244	2	5
320	46446	2	2
321	45350	3	4
322	43666	1	0
323	43273	1	2
324	42241	2	5
325	40813	1	0
326	40415	3	2
327	38985	3	2
328	38240	1	1
329	36967	1	4
330	35976	3	3
331	35640	0	1
332	34502	0	6
333	33555	1	2
334	33291	2	1
335	32392	2	3
336	31382	0	1
337	30772	1	1
338	29972	1	1
339	28996	9	1
340	28503	4	2
341	27860	0	0
342	27027	1	2
343	26481	1	1
344	25998	4	5
345	24977	0	4
346	24454	2	1
347	23869	0	0
348	23006	2	1
349	22876	2	1
350	22065	1	1
351	21652	1	1
352	20751	0	2
353	20566	1	2
354	19892	4	0
355	19446	1	0
356	19239	1	0
357	19011	5	2
358	18187	2	0
359	17762	2	2
360	17092	3	0
361	16681	2	2
362	15954	0	1
363	15596	2	0
364	15395	1	1
365	15065	3	3
366	14400	1	2
367	14187	8	0
368	13852	0	1
369	13333	3	0
370	13338	2	0
371	12785	0	0
372	12527	1	1
373	11987	0	1
374	11780	2	4
375	11308	1	0
376	11311	5	3
377	10983	1	1
378	10769	0	1
379	10418	3	0
380	10127	2	1
381	9966	1	0
382	9662	2	0
383	9500	1	1
384	9050	0	0
385	8844	1	2
386	8567	0	1
387	8261	2	3
388	8265	1	1
389	8068	0	0
390	7578	2	1
391	7594	1	0
392	7333	1	0
393	7055	1	0
394	6935	4	0
395	6882	3	0
396	6663	1	4
397	6687	3	1
398	6273	0	0
399	6048	2	0
400	6155	0	0
401	5886	1	0
402	5750	3	1
403	5715	1	1
404	5595	2	1
405	5357	1	0
406	5309	0	0
407	5119	0	1
408	4922	0	0
409	4892	3	1
410	4658	5	0
411	4519	1	2
412	4454	1	0
413	4501	0	0
414	4138	1	0
415	4119	1	0
416	4053	5	0
417	3928	1	1
418	3734	1	0
419	3738	2	1
420	3748	2	0
421	3637	1	0
422	3474	0	1
423	3400	6	0
424	3448	0	0
425	3284	1	0
426	3088	1	1
427	3071	2	0
428	2951	0	1
429	2987	1	1
430	2919	2	0
431	2921	0	0
432	2775	4	0
433	2764	1	1
434	2736	2	1
435	2607	0	0
436	2577	5	0
437	2478	10	0
438	2483	0	1
439	2472	1	0
440	2330	2	0
441	2260	2	0
442	2268	0	0
443	2164	1	0
444	2229	0	0
445	2133	3	0
446	1997	0	0
447	1961	0	1
448	2082	2	1
449	1937	1	1
450	1915	2	2
451	1786	0	0
452	1868	0	0
453	1830	2	0
454	1944	2	1
455	1778	1	0
456	1713	0	0
457	1640	3	0
458	1567	0	0
459	1566	3	0
460	1710	2	0
461	1618	0	0
462	1568	1	0
463	1515	1	0
464	1448	1	1
465	1508	2	1
466	1475	0	1
467	1451	1	2
468	1381	1	1
469	1407	4	0
470	1369	0	1
471	1257	1	0
472	1284	1	0
473	1320	1	0
474	1261	1	0
475	1271	0	0
476	1260	0	0
477	1275	3	0
478	1229	1	1
479	1236	0	1
480	1248	1	0
481	1215	0	0
482	1029	1	0
483	1061	3	3
484	1019	2	0
485	1014	1	0
486	959	0	1
487	947	0	0
488	902	0	0
489	893	1	1
490	940	0	0
491	919	1	0
492	863	0	0
493	875	2	0
494	894	0	0
495	886	1	0
496	853	0	0
497	873	0	0
498	813	2	0
499	905	0	0
500	849	0	1
501	822	1	0
502	792	2	0
503	813	1	0
504	780	2	0
505	809	1	0
506	740	2	0
507	772	0	0
508	724	1	0
509	757	1	0
510	741	3	1
511	752	4	0
512	753	0	0
513	689	0	1
514	779	1	0
515	703	1	0
516	736	1	0
517	683	0	0
518	705	1	0
519	697	2	0
520	721	0	0
521	763	0	0
522	740	2	0
523	747	1	0
524	698	1	0
525	670	0	0
526	664	0	0
527	719	0	0
528	644	1	1
529	700	1	0
530	689	1	0
531	667	1	0
532	634	2	0
533	636	2	0
534	632	2	0
535	640	1	0
536	631	3	0
537	647	0	0
538	669	0	0
539	597	2	0
540	672	0	0
541	654	2	0
542	651	0	0
543	631	1	0
544	611	0	1
545	583	1	0
546	601	1	0
547	582	0	1
548	604	1	1
549	559	0	0
550	587	1	0
551	604	0	0
552	594	1	0
553	575	1	0
554	636	2	0
555	591	0	0
556	566	2	0
557	574	0	0
558	605	0	0
559	615	0	0
560	593	1	0
561	611	1	0
562	593	1	2
563	543	0	1
564	602	1	0
565	590	0	0
566	573	1	0
567	568	2	1
568	558	1	0
569	588	0	0
570	551	1	0
571	569	1	0
572	596	0	0
573	548	0	0
574	597	0	0
575	525	2	0
576	552	1	0
577	576	0	0
578	583	0	0
579	575	0	0
580	577	1	0
581	575	0	1
582	572	0	0
583	535	0	0
584	568	0	0
585	599	1	0
586	550	1	0
587	547	0	0
588	538	0	0
589	560	0	0
590	513	1	0
591	543	1	0
592	562	1	0
593	530	0	0
594	528	1	0
595	573	0	0
596	579	1	0
597	534	0	0
598	558	0	1
599	540	0	1
600	549	0	0
601	568	1	0
602	558	0	0
603	554	1	0
604	561	1	0
605	576	0	0
606	538	1	0
607	554	1	0
608	539	2	0
609	544	0	0
610	573	0	1
611	566	2	0
612	549	2	0
613	536	0	0
614	566	0	0
615	581	0	0
616	556	0	0
617	557	0	2
618	571	1	0
619	585	0	0
620	534	0	0
621	587	2	1
622	579	1	0
623	559	1	0
624	531	0	0
625	568	1	0
626	547	0	0
627	544	0	0
628	569	0	0
629	583	0	0
630	560	1	0
631	581	1	0
632	549	0	0
633	533	0	0
634	557	1	0
635	522	2	0
636	517	0	1
637	504	0	0
638	497	2	1
639	500	0	0
640	553	0	0
641	546	1	0
642	461	0	0
643	492	0	0
644	479	0	0
645	479	0	0
646	500	0	0
647	483	1	0
648	487	1	0
649	468	0	0
650	485	0	0
651	465	1	0
652	481	1	1
653	497	1	0
654	433	1	0
655	480	1	0
656	455	1	0
657	491	0	0
658	451	0	0
659	464	0	0
660	456	0	0
661	470	0	0
662	480	0	0
663	463	0	0
664	447	1	0
665	492	3	0
666	474	0	0
667	480	0	0
668	482	1	0
669	481	0	0
670	436	0	0
671	451	0	0
672	429	2	1
