## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/UPF1_2YP_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_2YP_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/UPF1_2YP_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 17:18:02 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
265	259	38	2	1272037	284.960126	2300.048637	17970090	FR	15	29	45	61	77	97	121	153	205	257	497			
258	55662	233	2	1194939	46861.104796	129601.814959	3941	RF	155	251	349	417	467	511	5401	110809	198767	560237	1574007			
184	186	68	2	1443891	58737.893297	159781.315372	8369	TANDEM	27	51	79	107	137	175	229	907	436677	837413	1591767			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
239	118131	1	25
240	119321	2	14
241	120799	2	16
242	121800	1	10
243	121551	5	20
244	123273	1	20
245	124732	2	16
246	124750	3	11
247	125845	1	15
248	125590	2	14
249	125560	4	21
250	126104	4	17
251	127056	1	16
252	127173	4	11
253	127151	2	25
254	127623	2	15
255	127067	3	15
256	128010	3	20
257	127820	4	13
258	127959	6	12
259	128679	3	14
260	127894	2	6
261	127374	3	13
262	127692	1	8
263	126938	4	10
264	127301	1	12
265	127295	1	12
266	127320	1	11
267	126280	3	10
268	126821	1	12
269	126166	2	8
270	124654	1	12
271	124330	2	13
272	124086	3	8
273	123300	2	8
274	123252	2	10
275	122638	2	13
276	120855	1	11
277	120751	1	16
278	119514	0	6
279	119081	4	9
280	118219	3	9
281	117704	2	2
282	116258	1	10
283	115901	2	4
284	114527	0	8
285	113710	4	3
286	112854	5	8
287	112014	1	10
288	110086	1	8
289	109504	0	6
290	108328	4	10
291	106945	3	11
292	105541	2	7
293	104623	1	6
294	102981	2	6
295	102425	1	6
296	101381	1	11
297	99547	2	9
298	98495	0	7
299	97991	3	9
300	95910	1	4
301	94507	0	7
302	93142	1	3
303	91736	1	6
304	90750	2	4
305	89304	1	9
306	88026	1	4
307	87239	1	7
308	85928	0	6
309	84496	2	6
310	83443	1	4
311	82069	0	5
312	80792	2	4
313	79652	2	4
314	77662	0	4
315	76770	0	7
316	75389	1	8
317	74574	0	3
318	72650	2	6
319	71940	2	8
320	71428	0	6
321	69443	5	4
322	67752	3	6
323	66785	5	2
324	64950	2	1
325	64284	3	3
326	63408	1	2
327	61780	0	5
328	60696	1	5
329	59576	2	7
330	58810	3	2
331	57424	3	2
332	55977	2	2
333	54929	3	3
334	54452	1	1
335	53193	7	4
336	51862	2	2
337	51211	3	1
338	50039	3	4
339	48477	8	4
340	47815	1	1
341	46733	3	5
342	45807	1	3
343	44901	2	2
344	43859	4	0
345	42699	3	0
346	41891	1	0
347	41061	3	2
348	39780	3	5
349	39379	3	3
350	38607	3	2
351	37778	3	3
352	36753	1	2
353	35706	2	7
354	35022	3	1
355	34458	1	1
356	34205	5	1
357	33044	1	2
358	32020	3	1
359	31304	6	1
360	30395	2	1
361	30072	2	1
362	29387	1	0
363	28257	1	3
364	27683	4	1
365	27377	0	2
366	26301	2	0
367	25799	1	0
368	25357	2	1
369	24329	2	1
370	24304	1	2
371	23339	4	0
372	22731	1	3
373	22564	1	0
374	21914	2	1
375	21248	1	2
376	20943	3	1
377	20229	1	0
378	19621	3	2
379	19190	1	3
380	18863	4	2
381	18391	2	2
382	17864	1	1
383	17520	2	1
384	17126	0	2
385	16439	4	0
386	16322	0	0
387	15738	0	1
388	15335	0	1
389	14837	0	0
390	14643	1	1
391	14229	1	1
392	14065	1	1
393	13667	1	0
394	13055	0	1
395	12774	2	2
396	12673	0	0
397	12528	3	0
398	12063	2	0
399	11750	2	2
400	11607	1	2
401	11114	2	0
402	11178	4	1
403	10686	2	0
404	10466	1	0
405	10131	3	0
406	10008	3	1
407	9664	0	0
408	9434	3	1
409	9147	2	2
410	8776	2	0
411	8753	0	2
412	8606	1	2
413	8337	0	0
414	8085	0	0
415	7783	1	1
416	7832	2	0
417	7568	0	0
418	7252	2	0
419	7234	2	2
420	7116	1	1
421	6845	1	0
422	6640	1	0
423	6557	2	0
424	6411	1	3
425	6400	2	1
426	5954	1	0
427	5795	1	0
428	5681	0	0
429	5599	1	0
430	5540	3	0
431	5434	2	1
432	5171	0	0
433	5097	1	0
434	5007	1	0
435	4923	1	0
436	4830	3	1
437	4671	8	0
438	4554	2	0
439	4392	2	1
440	4334	0	0
441	4183	1	1
442	4137	3	1
443	4067	4	0
444	3925	1	0
445	3787	1	1
446	3702	2	0
447	3665	1	0
448	3656	2	0
449	3494	0	0
450	3464	1	1
451	3225	1	0
452	3296	0	0
453	3197	1	0
454	3173	3	0
455	3043	5	1
456	2945	1	0
457	2900	1	0
458	2874	1	0
459	2709	0	1
460	2780	2	0
461	2660	1	0
462	2567	0	0
463	2631	0	0
464	2598	2	0
465	2533	2	0
466	2390	2	0
467	2402	0	2
468	2310	2	0
469	2247	0	0
470	2314	1	0
471	2104	1	0
472	2121	0	1
473	2066	2	0
474	1953	0	1
475	1928	2	0
476	1968	1	0
477	1897	0	0
478	1878	2	0
479	1801	1	0
480	1827	0	1
481	1759	1	0
482	1702	0	0
483	1648	2	0
484	1644	1	1
485	1614	1	0
486	1532	0	2
487	1563	0	0
488	1572	1	0
489	1575	0	0
490	1534	0	0
491	1422	0	0
492	1410	0	0
493	1386	0	0
494	1372	1	0
495	1409	1	0
496	1352	2	0
497	1304	2	0
498	1279	1	0
499	1247	1	0
500	1304	1	0
501	1225	0	1
502	1244	3	0
503	1288	0	0
504	1184	1	0
505	1178	1	0
506	1121	3	0
507	1136	1	0
508	1131	1	0
509	1142	0	0
510	1153	0	0
511	1102	2	0
512	1081	4	0
513	1052	1	0
514	1096	0	0
515	1046	4	1
516	982	0	0
517	944	4	1
518	910	2	0
519	936	0	0
520	902	1	0
521	908	2	0
522	852	1	0
523	914	0	0
524	816	1	0
525	888	2	1
526	852	1	1
527	807	0	0
528	779	1	0
529	812	0	0
530	772	2	0
531	777	2	0
532	745	0	0
533	735	1	0
534	700	0	0
535	802	3	1
536	764	1	0
537	774	0	0
538	732	2	1
539	729	0	1
540	726	2	1
541	703	0	2
542	762	1	0
543	670	2	0
544	669	1	1
545	691	1	1
546	665	2	0
547	670	1	0
548	706	1	0
549	666	1	0
550	700	0	0
551	684	0	0
552	658	0	1
553	722	2	0
554	662	0	0
555	630	1	0
556	662	0	0
557	652	1	0
558	633	0	0
559	685	1	0
560	697	1	1
561	681	0	2
562	675	1	0
563	618	2	0
564	667	2	0
565	657	0	0
566	664	0	1
567	678	2	0
568	665	1	0
569	621	1	0
570	649	0	0
571	632	0	0
572	664	0	0
573	606	0	0
574	623	1	1
575	649	0	0
576	617	1	0
577	646	0	0
578	630	0	0
579	630	0	0
580	616	0	2
581	641	0	2
582	597	1	0
583	602	1	2
584	630	0	0
585	627	0	0
586	616	0	0
587	603	0	1
