## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/UPF1_1YP_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/UPF1_1YP_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/UPF1_1YP_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 17:14:07 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
262	257	39	2	1300748	281.083109	2368.405149	18630347	FR	15	31	45	61	79	99	123	155	207	261	487			
253	55662	229	2	1362331	47524.270751	129089.217619	4048	RF	143	255	349	415	459	497	6859	110819	207795	563367	1496039			
183	147	71	2	1411867	68779.453529	173432.213575	8500	TANDEM	27	55	81	111	143	185	253	97747	501001	902679	1595783			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	17	17	6
3	19	10	0
4	17	17	2
5	21	22	0
6	17	20	0
7	19	23	2
8	18	13	0
9	24	20	2
10	17	16	1
11	30	16	1
12	28	17	2
13	23	17	2
14	19	21	3
15	27	20	2
16	25	21	2
17	30	24	1
18	29	25	2
19	1797	17	2
20	90	24	4
21	68	28	1
22	1025	23	3
23	54	17	1
24	55	21	4
25	95	21	9
26	86	16	2
27	67	19	3
28	243	23	7
29	71	23	4
30	398	16	2
31	55	20	7
32	361	21	5
33	119	16	10
34	84	15	7
35	386	15	7
36	73	15	9
37	79	18	4
38	58	12	16
39	81	13	12
40	91	15	8
41	98	14	6
42	534	16	11
43	209	17	12
44	581	18	12
45	155	8	9
46	164	21	11
47	123	12	6
48	159	13	4
49	164	15	9
50	133	14	10
51	1936	14	4
52	204	11	14
53	139	11	17
54	665	15	14
55	225	10	13
56	161	13	15
57	180	14	14
58	570	10	21
59	174	10	10
60	163	6	7
61	214	7	22
62	209	6	14
63	356	4	6
64	263	8	18
65	296	13	15
66	309	7	7
67	314	11	12
68	271	14	15
69	289	9	15
70	316	9	11
71	340	10	15
72	403	9	26
73	427	13	16
74	415	10	16
75	527	9	25
76	469	9	19
77	519	18	14
78	560	11	28
79	571	12	24
80	676	9	20
81	756	10	16
82	787	8	20
83	667	10	27
84	779	6	20
85	905	9	22
86	904	7	31
87	971	5	30
88	1036	4	19
89	1049	5	26
90	1190	7	27
91	1201	10	26
92	1331	6	34
93	1244	10	33
94	1443	3	27
95	2086	7	20
96	1599	11	39
97	1606	6	28
98	1848	7	28
99	1912	5	38
100	1970	4	32
101	2132	9	30
102	2294	7	25
103	2385	10	26
104	2547	7	31
105	2608	5	43
106	2798	7	25
107	3278	5	25
108	3080	6	25
109	3174	11	43
110	3411	6	30
111	3482	5	37
112	3826	3	29
113	3992	5	25
114	4211	9	30
115	4477	9	36
116	4489	6	42
117	4704	4	38
118	4995	5	43
119	5391	6	43
120	5533	9	36
121	5794	4	35
122	6040	11	37
123	6052	7	40
124	6361	9	38
125	6695	6	40
126	7047	8	39
127	7356	5	30
128	7729	6	38
129	8201	8	43
130	8507	5	41
131	8606	11	37
132	9014	2	47
133	9481	5	41
134	9714	2	32
135	10074	7	31
136	10272	6	32
137	10888	5	43
138	11184	5	37
139	11882	4	39
140	12380	8	40
141	12622	9	30
142	13586	6	33
143	13438	7	40
144	14233	1	42
145	14623	5	37
146	15559	4	36
147	15946	2	52
148	16283	5	47
149	16811	11	28
150	17768	4	30
151	18173	6	33
152	18995	3	31
153	19388	5	47
154	20090	3	43
155	20897	11	48
156	21132	2	46
157	22434	7	33
158	22986	4	39
159	23985	8	41
160	24562	5	33
161	25536	3	30
162	26457	8	42
163	27262	3	41
164	28085	6	37
165	28731	5	48
166	29844	5	40
167	30495	3	32
168	31420	3	42
169	32238	3	26
170	33627	3	33
171	34203	4	41
172	35328	7	39
173	36814	6	30
174	37942	7	23
175	39279	6	39
176	39854	2	36
177	41147	5	29
178	42413	4	39
179	43649	5	35
180	44640	3	34
181	46019	5	34
182	47074	3	37
183	47782	4	25
184	49891	7	27
185	50397	3	33
186	52308	5	22
187	53509	8	34
188	54674	3	42
189	55844	4	19
190	57274	3	28
191	58556	5	31
192	60294	1	41
193	61448	4	44
194	63123	8	20
195	64261	2	20
196	66668	4	23
197	67977	2	22
198	69133	3	31
199	70998	7	30
200	72241	3	25
201	73193	1	27
202	75124	5	26
203	76757	7	31
204	79264	4	31
205	79673	4	20
206	81169	0	24
207	81993	4	23
208	83953	1	14
209	85922	3	31
210	87470	0	25
211	89000	2	19
212	91513	3	24
213	92248	5	32
214	93652	6	31
215	95469	4	21
216	96657	4	22
217	98783	1	19
218	99649	1	29
219	101446	2	17
220	103297	2	24
221	104365	3	20
222	105249	5	16
223	107311	2	18
224	108885	1	24
225	109516	3	24
226	110701	3	21
227	112343	4	17
228	112865	3	21
229	114814	3	17
230	115669	2	23
231	115845	3	25
232	118177	2	23
233	119134	4	18
234	119473	6	22
235	121503	2	27
236	122337	3	19
237	122217	2	19
238	123204	4	18
239	124768	4	23
240	125178	1	17
241	125882	3	17
242	126752	6	14
243	127131	5	11
244	128516	2	17
245	128819	3	16
246	129058	2	16
247	130205	1	15
248	130583	4	7
249	130028	0	14
250	129774	4	9
251	130420	3	17
252	130464	3	17
253	130358	4	21
254	130471	6	11
255	130080	4	12
256	130064	2	11
257	130822	1	18
258	129486	5	5
259	129962	4	10
260	129186	2	13
261	128603	2	7
262	128921	2	17
263	128630	2	9
264	127932	6	9
265	127627	0	10
266	127730	2	5
267	127025	1	11
268	126063	0	8
269	126048	1	10
270	124994	3	11
271	124440	3	13
272	124291	2	10
273	122045	2	7
274	122182	1	11
275	120859	3	7
276	120323	1	10
277	120275	6	10
278	118722	2	3
279	117519	2	7
280	116914	2	10
281	116021	5	8
282	114761	1	6
283	113386	2	11
284	112707	2	5
285	112376	1	4
286	111358	4	5
287	110178	0	7
288	108462	2	9
289	107827	0	12
290	106412	1	6
291	104090	2	8
292	103738	2	8
293	102655	3	6
294	100772	3	4
295	100096	3	4
296	99836	2	5
297	97659	1	5
298	96660	3	10
299	95803	4	4
300	93642	1	5
301	92375	2	7
302	91081	3	9
303	89081	1	4
304	88937	2	2
305	86916	3	3
306	85790	2	4
307	85163	2	3
308	83598	4	5
309	82298	1	3
310	81221	3	11
311	79947	1	3
312	78566	2	2
313	77145	2	2
314	76191	4	2
315	74510	2	3
316	73674	3	5
317	72954	2	2
318	71177	0	3
319	69856	0	4
320	69014	3	4
321	67396	6	7
322	66093	8	0
323	65381	2	2
324	63302	1	4
325	62532	0	0
326	61680	1	4
327	60253	2	3
328	59138	1	4
329	57849	0	3
330	57127	2	7
331	55889	0	8
332	55069	1	1
333	53560	3	0
334	52650	1	5
335	51908	2	3
336	50536	2	0
337	49898	2	0
338	48413	3	1
339	47013	3	2
340	46487	1	1
341	45302	5	4
342	44464	6	3
343	43424	1	1
344	42689	3	3
345	41497	0	2
346	40912	5	4
347	40066	1	4
348	38745	3	4
349	38719	4	0
350	37400	0	2
351	36887	6	1
352	35808	2	3
353	35054	1	3
354	33916	3	3
355	33491	4	5
356	33267	3	2
357	32007	7	1
358	31287	1	1
359	30721	2	0
360	29853	3	0
361	29274	1	3
362	28484	0	2
363	27918	4	2
364	27076	2	0
365	26483	1	1
366	25414	0	1
367	25312	3	1
368	24865	1	3
369	24025	2	2
370	23502	1	3
371	22839	0	3
372	22090	3	1
373	22019	2	1
374	21270	2	1
375	20584	0	0
376	20332	1	0
377	19970	1	1
378	19534	1	0
379	18952	4	2
380	18637	3	1
381	18213	1	1
382	18034	0	0
383	17213	1	4
384	16602	1	1
385	16352	5	1
