## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/U_R_1YPD_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_1YPD_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/U_R_1YPD_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 16:52:41 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
252	247	38	2	1224571	270.239887	2354.668841	21026474	FR	15	29	45	61	77	97	121	153	203	253	451			
231.5	55662	210.5	2	1178107	48719.930773	128516.246949	4348	RF	129	231	321	381	421	465	6095	110863	222629	605479	1543903			
201	124	98	2	1363471	92836.700622	189161.34871	8364	TANDEM	37	73	113	151	197	261	51085	357427	679119	1074107	1595595			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
236	147608	3	17
237	147680	6	22
238	148691	4	15
239	149317	7	8
240	149647	2	16
241	150509	4	12
242	150377	3	17
243	150748	1	12
244	151066	4	11
245	151698	4	13
246	151136	2	15
247	151890	1	14
248	151084	2	10
249	150958	2	16
250	150766	1	19
251	149983	5	9
252	149893	2	9
253	149459	1	11
254	148863	2	9
255	147385	1	9
256	147693	3	9
257	147916	2	14
258	146070	3	7
259	146262	1	9
260	144768	5	2
261	144167	3	6
262	143052	7	12
263	142384	1	14
264	141065	1	8
265	140356	1	10
266	139483	3	7
267	138363	2	10
268	137680	4	7
269	137281	1	9
270	134549	5	9
271	134557	2	5
272	133437	1	8
273	131848	3	6
274	130860	5	14
275	129599	0	7
276	128099	3	14
277	127338	0	7
278	125249	0	6
279	123439	2	5
280	123232	0	3
281	121757	2	6
282	120295	1	8
283	118360	1	4
284	116800	4	7
285	116248	3	7
286	114885	0	4
287	113341	2	6
288	111107	1	10
289	109971	1	3
290	108589	2	6
291	106760	6	7
292	104563	3	3
293	103138	2	6
294	101467	1	6
295	100945	1	3
296	99045	2	7
297	97464	1	4
298	96253	3	3
299	95145	3	9
300	92534	1	3
301	91629	0	6
302	90007	0	2
303	86678	2	5
304	86828	1	1
305	85356	2	5
306	83375	3	3
307	82583	1	3
308	81480	0	2
309	79264	4	6
310	78306	5	5
311	76395	0	2
312	74766	1	2
313	73501	2	6
314	72526	0	2
315	70694	1	4
316	70059	0	3
317	67949	1	3
318	66829	2	1
319	65618	2	3
320	64785	2	3
321	62559	3	0
322	61578	1	2
323	60141	3	3
324	58293	2	2
325	57273	2	1
326	57036	1	1
327	55728	0	1
328	54504	0	1
329	52865	1	3
330	52074	1	3
331	50781	2	3
332	49634	5	4
333	48301	3	2
334	47952	5	3
335	47042	1	2
336	45505	1	2
337	44946	0	1
338	43575	1	2
339	42107	4	1
340	41318	1	1
341	40419	3	2
342	39345	2	1
343	38444	2	2
344	37459	0	5
345	36358	6	0
346	35824	1	0
347	35118	3	1
348	34270	1	1
349	33405	0	1
350	32668	1	1
351	31836	3	1
352	31150	2	0
353	30501	0	0
354	29578	1	2
355	29045	3	0
356	28537	2	3
357	27688	1	0
358	26944	2	0
359	26679	4	2
360	25673	1	3
361	24877	2	2
362	23943	1	4
363	23565	2	0
364	23126	0	1
365	22344	2	0
366	21549	2	0
367	21265	5	3
368	20730	4	3
369	20146	1	0
370	19801	2	0
371	19222	1	1
372	18608	2	1
373	18303	0	1
374	17798	1	0
375	17326	0	1
376	16939	2	0
377	16625	0	0
378	16022	2	0
379	15626	3	0
380	15485	0	0
381	14787	2	1
382	14765	1	0
383	14201	2	1
384	13659	0	1
385	13404	2	0
386	12941	1	1
387	12724	1	1
388	12609	2	2
389	12078	0	0
390	11861	1	0
391	11468	2	1
392	11364	1	1
393	10717	0	1
394	10510	1	1
395	10323	2	0
396	10136	3	0
397	10040	1	0
398	9800	5	0
399	9191	3	0
400	9284	1	0
401	9073	0	2
402	8862	3	1
403	8628	0	1
404	8377	1	0
405	8211	4	1
406	7906	1	1
407	7637	2	2
408	7527	1	0
409	7493	2	0
410	7132	4	0
411	6895	1	0
412	6988	0	2
413	6542	4	1
414	6483	1	0
415	6156	2	0
416	6123	1	0
417	5869	0	0
418	5814	0	3
419	5906	1	0
420	5680	0	0
421	5392	2	1
422	5293	1	0
423	5095	6	0
424	4994	0	0
425	4782	0	1
426	4706	0	0
427	4643	1	0
428	4401	1	0
429	4301	2	0
430	4483	2	0
431	4331	2	1
432	4082	0	0
433	4096	2	0
434	4133	4	0
435	3835	1	0
436	3904	3	1
437	3695	6	0
438	3624	1	0
439	3549	0	0
440	3473	1	0
441	3376	0	0
442	3315	1	2
443	3386	2	0
444	3069	1	1
445	3024	2	1
446	2919	1	0
447	2819	3	0
448	2970	1	1
449	2844	0	0
450	2778	2	0
451	2669	1	0
452	2628	2	0
453	2584	2	0
454	2611	2	0
455	2521	5	0
456	2448	0	0
457	2379	1	0
458	2379	1	0
459	2230	2	0
460	2190	2	0
461	2125	2	0
462	2083	0	0
463	2150	2	0
464	2116	0	0
465	2051	1	0
466	1970	3	0
467	1939	0	0
468	1917	2	1
469	1851	1	0
470	1861	2	0
471	1800	1	0
472	1756	1	2
473	1761	2	0
474	1735	1	0
475	1653	1	0
476	1627	2	0
477	1657	1	0
478	1604	1	0
479	1563	0	0
480	1513	1	0
481	1523	1	0
482	1505	0	0
483	1435	1	0
484	1440	1	0
485	1440	0	0
486	1393	4	1
487	1337	1	0
488	1405	0	1
489	1415	0	0
490	1304	1	0
491	1278	0	0
492	1253	3	0
493	1287	2	0
494	1192	1	2
495	1111	1	0
496	1182	1	0
497	1205	1	0
498	1122	0	0
499	1094	2	0
500	1019	2	0
501	1029	0	0
502	972	1	0
503	980	0	0
504	1011	2	0
505	879	1	0
506	915	1	0
507	924	0	0
508	927	2	0
509	910	1	0
510	935	2	0
511	865	1	0
512	852	0	1
513	874	1	0
514	904	1	1
515	881	0	0
516	835	1	0
517	828	0	0
518	788	3	0
519	763	0	1
520	781	0	0
521	902	0	0
522	870	0	0
523	783	2	0
524	740	0	0
525	847	0	0
526	740	2	0
527	766	0	0
528	731	1	0
529	767	1	1
530	712	1	1
531	730	1	0
532	724	0	0
533	720	1	0
534	735	1	0
535	736	0	0
536	694	0	0
537	663	0	0
538	705	1	0
539	727	1	0
540	717	0	0
541	707	0	0
542	694	1	1
543	687	2	0
544	675	2	0
545	701	0	0
546	678	0	1
547	668	1	1
548	688	1	0
549	728	0	0
550	690	0	0
551	628	0	0
552	649	1	0
553	622	2	0
554	618	0	0
555	665	1	0
556	605	0	0
557	627	0	0
558	648	1	0
559	692	1	0
560	588	0	0
561	670	2	0
562	628	2	0
563	669	0	1
564	610	0	0
565	641	1	0
566	643	1	0
567	618	1	0
568	595	1	0
569	636	0	0
570	604	1	1
571	624	1	0
572	623	2	0
573	584	1	0
574	572	0	1
575	611	2	0
576	589	0	1
577	606	1	0
578	625	0	0
579	651	0	0
580	560	0	0
581	602	1	0
582	605	0	0
583	629	1	0
584	612	1	0
585	606	1	0
586	609	2	0
587	599	1	0
588	572	2	0
589	573	0	0
590	557	2	0
591	586	2	0
592	610	0	0
593	608	2	0
594	551	1	0
595	599	0	0
596	605	2	0
597	578	0	0
598	565	0	0
599	631	0	1
600	597	0	0
601	562	2	0
602	583	1	0
603	639	0	1
604	574	1	0
605	604	0	0
606	612	0	1
607	588	2	0
608	652	1	0
609	559	1	0
610	570	1	0
611	591	0	0
612	591	1	0
613	597	1	1
614	576	0	0
615	600	0	0
616	571	1	0
617	596	0	1
618	636	2	1
619	585	2	0
620	598	1	0
621	616	0	0
622	590	1	0
623	610	2	0
624	616	1	0
625	548	1	1
626	574	1	0
627	590	1	0
628	640	1	1
629	574	0	0
630	600	3	0
631	615	1	0
632	598	2	1
633	590	0	0
634	572	0	0
635	568	1	0
636	544	0	0
637	530	0	0
638	526	0	0
639	474	0	2
640	540	3	0
641	549	1	0
642	550	0	0
643	557	1	0
644	550	1	0
645	519	0	0
646	506	2	0
647	528	2	0
648	514	1	0
649	544	0	0
650	525	1	1
651	484	2	0
652	507	1	0
653	484	1	0
654	485	1	0
655	509	0	0
656	480	1	1
657	505	0	1
658	489	0	0
659	529	0	0
660	483	0	0
661	522	0	0
662	510	0	0
663	464	0	0
664	472	2	0
665	507	0	0
666	502	1	0
667	473	1	0
668	481	2	0
669	492	0	0
670	479	0	0
671	460	1	0
672	476	0	0
673	443	0	1
674	447	1	0
675	450	0	0
676	424	2	0
677	469	0	0
678	441	0	0
679	444	0	0
680	402	0	0
681	438	0	1
682	443	1	0
683	479	0	0
684	428	1	0
685	481	2	0
686	410	1	0
687	399	2	1
688	445	1	0
689	448	1	0
690	405	0	0
691	399	0	1
692	422	2	0
693	446	0	1
694	430	0	0
695	399	2	0
696	397	0	0
697	383	1	0
698	387	0	0
699	395	1	0
700	403	1	0
701	390	0	0
702	365	1	0
703	397	1	2
704	388	1	0
705	380	0	0
706	400	1	0
707	398	0	0
708	380	0	1
709	352	1	0
710	367	0	0
711	391	0	0
712	361	0	0
713	361	0	0
714	334	0	0
715	358	1	0
716	353	2	0
717	364	0	0
718	346	0	0
719	378	2	0
720	376	2	0
721	384	1	0
722	314	1	0
723	386	0	0
724	353	2	0
725	356	0	0
726	322	1	0
727	372	3	0
728	354	0	0
729	339	0	0
730	355	2	0
731	335	0	0
732	366	0	0
733	327	0	0
734	316	0	0
735	308	0	0
736	363	1	0
737	325	2	0
738	296	0	0
739	364	1	0
740	323	1	0
741	336	0	0
742	368	1	0
743	393	0	0
744	362	0	0
745	314	0	2
746	365	0	0
747	318	0	0
748	333	0	0
749	306	1	0
750	319	3	1
751	321	2	0
752	310	1	0
753	317	0	0
754	309	2	0
755	303	1	0
756	338	0	0
757	293	1	0
758	294	0	0
