## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/U_R_3YPD_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/U_R_3YPD_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/U_R_3YPD_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 17:00:03 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
260	250	38	2	1304634	279.415684	2348.870863	19156337	FR	15	29	43	59	77	97	119	151	201	255	503			
223	55662	201	2	1415398	48380.436401	135364.438178	4434	RF	121	219	299	361	403	441	3185	110879	220349	596475	1574181			
198	131	87	2	1321318	84663.460306	180205.649579	8175	TANDEM	33	65	99	135	175	235	597	349523	650117	994663	1591763			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	18	20	3
3	19	20	1
4	21	15	2
5	16	18	0
6	17	20	0
7	32	14	1
8	10	15	1
9	23	25	0
10	19	22	0
11	15	25	0
12	24	17	1
13	23	28	1
14	30	16	1
15	18	25	3
16	34	20	2
17	22	30	0
18	34	29	1
19	1527	26	3
20	67	20	2
21	70	24	4
22	839	29	4
23	52	26	0
24	69	22	2
25	84	23	3
26	115	31	4
27	65	20	3
28	245	18	1
29	47	21	5
30	399	26	5
31	47	13	6
32	284	22	5
33	107	14	5
34	57	18	2
35	369	10	7
36	84	22	5
37	59	18	8
38	74	10	6
39	89	15	5
40	86	17	7
41	109	16	9
42	479	17	12
43	160	18	6
44	608	11	10
45	133	18	8
46	143	13	6
47	144	17	9
48	153	19	10
49	156	17	7
50	141	12	14
51	1514	15	9
52	197	14	9
53	125	18	9
54	647	10	14
55	218	12	15
56	163	11	13
57	160	16	7
58	545	14	13
59	197	16	11
60	165	14	13
61	175	6	12
62	196	9	21
63	329	14	15
64	265	13	22
65	272	6	12
66	306	14	15
67	302	14	21
68	235	9	16
69	229	19	14
70	296	7	19
71	315	8	15
72	363	16	20
73	402	8	12
74	402	9	16
75	514	10	16
76	431	8	18
77	504	5	23
78	519	7	12
79	525	11	24
80	611	13	16
81	696	10	16
82	660	14	21
83	643	13	19
84	617	9	18
85	810	11	17
86	934	7	16
87	842	7	20
88	971	8	19
89	978	10	18
90	1109	8	26
91	1159	10	22
92	1166	9	30
93	1179	11	22
94	1284	11	26
95	1991	6	24
96	1445	14	24
97	1467	6	27
98	1734	8	26
99	1736	10	25
100	1819	14	20
101	1858	2	22
102	2214	8	15
103	2169	6	26
104	2234	4	27
105	2406	10	28
106	2538	9	32
107	2916	7	30
108	2960	9	26
109	2939	11	27
110	3151	6	37
111	3464	6	33
112	3442	11	35
113	3770	7	35
114	3913	9	24
115	4151	8	29
116	4318	10	38
117	4378	9	29
118	4971	7	38
119	5063	4	39
120	5160	3	25
121	5495	8	22
122	5622	7	39
123	5684	6	25
124	6012	13	34
125	6261	11	22
126	6624	12	25
127	6951	2	28
128	7302	7	46
129	7665	9	35
130	8104	6	32
131	8277	1	49
132	8571	7	32
133	9013	7	31
134	9288	10	36
135	9436	6	30
136	9952	4	33
137	10474	10	38
138	10762	7	20
139	11500	7	30
