## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/WT_1_YPD_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/WT_1_YPD_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/WT_1_YPD_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 17:03:43 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
254	247	38	2	1319488	273.447231	2322.880851	17165809	FR	15	29	45	61	77	97	121	153	203	255	487			
281	55662	260	2	1363952	56728.477352	139403.444462	3444	RF	163	299	407	477	521	683	22487	169479	280199	698333	1574287			
155	104	56	3	1324256	44947.28536	142313.078629	10888	TANDEM	21	43	67	89	113	143	181	255	342999	673077	1508551			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
238	120714	2	14
239	120640	1	11
240	121050	2	17
241	121434	4	13
242	122331	2	15
243	121913	1	20
244	122757	3	18
245	122834	2	12
246	122625	0	15
247	123190	1	25
248	123007	2	18
249	122227	3	14
250	122834	1	25
251	122003	3	14
252	121830	5	14
253	122530	0	13
254	120948	1	12
255	120657	4	15
256	120536	4	13
257	120106	3	11
258	119574	1	7
259	119462	3	12
260	117807	2	9
261	117244	2	9
262	117074	1	8
263	116728	1	11
264	115506	3	6
265	115453	4	12
266	114526	3	9
267	113607	1	5
268	113404	3	7
269	112678	2	12
270	111391	3	7
271	110558	4	16
272	110646	5	9
273	108623	0	5
274	107660	0	4
275	107535	1	7
276	105958	5	5
277	104668	0	12
278	104556	2	8
279	102513	1	6
280	101691	1	6
281	100843	2	6
282	99360	1	4
283	98583	1	8
284	97618	2	10
285	96354	4	11
286	95820	1	6
287	94320	1	9
288	92335	3	4
289	91698	2	4
290	90223	5	3
291	88741	4	1
292	87622	3	5
293	86302	1	5
294	84887	1	7
295	84151	2	7
296	83339	0	6
297	81738	1	11
298	80332	2	6
299	80165	1	8
300	78256	3	4
301	76394	1	6
302	75115	1	4
303	73786	1	2
304	72669	1	4
305	71550	2	3
306	70371	1	2
307	69250	2	1
308	67783	1	4
309	67144	1	6
310	65738	4	3
311	64889	2	4
312	63602	3	8
313	62287	0	4
314	61030	2	5
315	59893	3	5
316	58747	4	3
317	58024	4	3
318	56708	3	3
319	55945	3	4
320	55302	1	3
321	53897	4	2
322	52745	1	3
323	51557	1	1
324	49862	1	2
325	49408	1	2
326	48260	2	3
327	47512	0	3
328	46134	1	1
329	45366	4	3
330	44160	1	1
331	43362	2	1
332	42606	2	2
333	41378	1	3
334	41110	0	4
335	40484	2	2
336	38926	0	2
337	38303	1	0
338	37420	1	3
339	36084	5	3
340	35763	1	3
341	34859	3	2
342	34044	2	1
343	33075	1	2
344	32597	1	3
345	31788	2	0
346	30906	4	4
347	30134	4	1
348	29239	1	3
349	29206	1	2
350	28304	0	2
351	27859	4	0
352	27138	0	2
353	26468	1	1
354	25554	3	3
355	25307	1	1
356	24822	2	1
357	24258	1	2
358	23103	2	1
359	22857	3	1
360	22199	2	0
361	21942	0	1
362	21025	1	3
363	20587	1	0
364	20025	2	1
365	19534	0	1
366	18771	0	0
367	18618	7	2
368	18193	0	1
369	17454	1	3
370	17436	0	1
371	17034	1	2
372	16402	0	2
373	16214	1	1
374	15916	1	1
375	14958	1	1
376	15040	0	1
377	14546	4	2
378	14043	4	0
379	14023	3	1
380	13461	1	0
381	13338	2	2
382	12904	2	0
383	12572	0	0
384	11903	1	0
385	11820	0	0
386	11532	1	1
387	11263	3	1
388	11093	1	1
389	10697	0	2
390	10485	1	2
391	10170	0	0
392	9900	0	1
393	9476	0	1
394	9352	0	0
395	9221	0	1
396	9000	2	1
397	8874	0	2
398	8593	0	2
399	8233	2	0
400	8254	1	0
401	7846	2	0
402	7821	1	0
403	7545	2	0
404	7117	0	1
405	7146	0	0
406	7145	0	0
407	7004	1	0
408	6684	0	1
409	6407	0	1
410	6146	2	0
411	6058	0	1
412	6110	0	1
413	5931	2	2
414	5712	1	0
415	5731	1	3
416	5341	1	1
417	5370	0	0
418	5249	2	1
419	4968	2	1
420	4973	1	0
421	4894	0	0
422	4698	0	1
423	4587	1	0
424	4561	2	0
425	4377	1	3
426	4207	0	0
427	4085	1	0
428	3985	0	1
429	3889	1	0
430	3868	1	0
431	3738	4	0
432	3734	3	0
433	3572	1	1
434	3551	0	2
435	3524	0	0
436	3402	2	0
437	3344	8	2
438	3181	1	3
439	3152	2	1
440	3042	0	1
441	3050	0	1
442	3103	0	1
443	2849	0	1
444	2805	2	0
445	2704	3	0
446	2580	0	1
447	2537	3	1
448	2510	1	0
449	2438	1	1
