## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/RRP6_1YP_1.fq.gz_hist.pdf --DEVIATIONS 1.0E7 --MINIMUM_PCT 0.0 --INPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/4_REMOVE_PCR/RRP6_1YP_1.fq.gz.bam --OUTPUT /u/home/s/samdemar/project-guillom/upf1_rrp6/7_INSERT_HISTOGRAMS/RRP6_1YP_1.fq.gz_output.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 15 17:25:07 PST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
257	247	39	2	1448343	276.559205	2421.006278	17587823	FR	15	29	45	61	79	99	123	155	205	257	463			
188	55662	169	2	1357552	45578.635051	131336.358727	4017	RF	89	169	251	305	339	369	1139	110949	211149	602637	1518061			
193	120	83	2	1444424	83341.508287	185592.061903	6697	TANDEM	31	61	95	129	167	219	325	278637	649659	1023841	1595869			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
237	119536	6	10
238	120540	4	12
239	120935	1	14
240	121742	2	9
241	121612	2	15
242	122551	2	14
243	123250	2	9
244	123865	1	10
245	124144	0	8
246	124199	1	8
247	125173	2	8
248	124867	5	12
249	123999	0	12
250	124170	4	6
251	124605	1	9
252	124595	1	9
253	123851	0	10
254	124676	2	13
255	123556	3	9
256	123578	5	17
257	123051	2	9
258	122321	1	5
259	122849	4	9
260	122361	1	7
261	121164	3	3
262	121259	3	11
263	120448	6	13
264	119467	2	3
265	119487	2	13
266	118663	1	12
267	118151	1	8
268	118202	3	8
269	117167	2	7
270	115612	3	6
271	115476	4	10
272	115178	2	8
273	113399	0	7
274	113023	1	5
275	112309	2	7
276	110141	4	7
277	110186	3	5
278	109328	2	8
279	108199	4	7
280	107437	1	3
281	106208	2	7
282	104964	3	8
283	104206	1	7
284	102891	1	7
285	102379	2	8
286	100788	1	6
287	100306	0	3
288	99192	0	4
289	97753	1	2
290	95987	4	6
291	94539	1	4
292	93726	3	4
293	91969	1	4
294	90261	3	5
295	90088	2	3
296	88923	2	2
297	87209	3	4
298	86762	0	7
299	85300	1	3
300	83587	0	4
301	82422	2	1
302	81561	2	7
303	79091	5	7
304	78846	1	3
305	77194	0	3
306	76243	1	9
307	75035	1	2
308	74208	3	5
309	72354	2	2
310	71703	0	1
311	70286	2	5
312	68958	4	5
313	68009	0	1
314	67031	2	4
315	65174	2	2
316	64831	2	2
317	63489	0	5
318	62306	1	1
319	60827	3	1
320	60107	2	6
321	58463	4	3
322	57401	3	0
323	56172	1	0
324	55168	4	1
325	54431	2	2
326	53614	3	2
327	51776	0	4
328	51405	1	2
329	49830	2	3
330	48760	1	2
331	47847	1	2
332	47010	1	0
333	45979	2	1
334	45288	2	0
335	44464	3	5
336	43031	1	0
337	42499	2	4
338	41823	2	0
339	40459	3	1
340	39876	0	1
341	39201	0	0
342	37706	1	1
343	36691	1	1
344	36217	1	1
345	35306	2	6
346	34400	1	2
347	33715	3	0
348	32792	3	3
349	32597	2	1
350	31782	0	0
351	30774	0	4
352	30245	4	1
353	29436	2	0
354	28920	1	1
355	28267	2	1
356	27626	3	0
357	27191	0	1
358	26384	3	0
359	25934	1	0
360	25095	2	0
361	24176	2	1
362	23871	2	0
363	23106	1	2
364	22577	1	0
365	21754	2	0
366	21136	3	3
367	20992	3	2
368	20345	3	1
369	19603	3	1
370	19662	1	1
371	19106	0	1
372	18407	0	1
373	17980	2	3
374	17619	1	2
375	17094	1	3
376	16892	2	2
377	16379	2	0
378	15836	2	0
379	15518	0	0
380	15173	0	0
381	14900	2	1
382	14475	6	1
383	14166	0	1
384	13603	4	0
385	13383	6	1
386	13183	2	0
387	12634	1	0
388	12374	0	0
389	11911	0	0
390	11763	1	0
391	11384	0	3
392	11354	2	1
393	10845	0	0
394	10500	2	0
395	10401	2	0
396	10078	1	2
397	9876	1	1
398	9747	1	0
399	9349	1	0
400	9281	1	0
401	8891	2	0
402	8740	3	1
403	8500	2	1
404	8447	0	0
405	7976	0	0
406	8097	1	0
407	7717	2	0
408	7557	1	2
409	7491	1	1
410	7006	3	0
411	6929	3	0
412	6889	2	1
413	6676	1	0
414	6499	1	0
415	6140	1	0
416	6090	3	1
417	6052	2	0
418	5891	2	0
419	5784	2	1
420	5543	2	0
421	5507	0	0
422	5267	0	0
423	5237	3	1
424	5150	2	1
425	4844	1	1
426	4754	0	0
427	4609	1	0
428	4448	2	0
429	4372	1	0
430	4409	0	0
431	4386	1	0
432	4143	0	1
433	4119	1	1
434	3982	1	0
435	3857	1	0
436	3894	1	1
437	3630	5	0
438	3612	4	0
439	3537	1	0
440	3401	0	0
441	3286	1	0
442	3237	2	0
443	3316	1	1
444	3131	3	0
445	3010	2	0
446	2941	1	0
447	2871	1	0
448	2926	2	1
449	2811	1	0
450	2746	0	0
451	2625	0	0
452	2669	0	0
453	2483	1	0
454	2468	1	0
455	2454	1	2
456	2376	0	0
457	2341	0	0
458	2230	2	0
459	2186	1	0
460	2200	4	0
461	2125	1	0
462	2034	0	1
463	2003	1	0
464	2010	3	0
465	1935	0	0
466	1928	1	0
467	1930	0	0
468	1872	0	0
469	1795	3	0
470	1866	2	0
471	1686	2	1
472	1716	0	0
473	1712	1	2
474	1579	2	1
475	1571	1	0
476	1569	1	0
477	1598	0	0
478	1544	3	0
479	1560	0	0
480	1537	0	0
481	1424	3	0
482	1473	1	0
483	1364	0	0
484	1406	0	1
485	1324	1	1
486	1248	0	0
487	1283	0	1
488	1233	1	0
489	1263	0	0
490	1235	1	0
491	1166	1	1
492	1186	0	0
493	1200	1	1
494	1156	0	0
495	1127	1	0
496	1061	1	1
497	1121	0	0
498	1076	0	0
499	1116	0	0
500	1071	0	0
501	1034	0	1
502	1056	0	0
503	1043	1	1
504	935	1	1
505	939	0	0
506	978	2	0
507	909	1	0
508	860	0	0
509	830	2	0
510	780	1	0
511	786	3	0
512	811	0	0
513	751	0	1
514	780	0	0
515	768	0	0
516	791	0	0
517	789	0	0
518	761	0	0
519	725	0	0
520	763	0	0
521	732	1	0
522	743	2	1
523	691	0	0
524	731	1	0
525	741	2	0
526	717	1	3
527	689	0	1
528	684	0	0
529	694	2	0
530	679	0	0
531	628	3	2
532	629	2	0
533	638	1	0
534	659	1	0
535	649	1	0
536	634	0	1
537	590	0	0
538	652	0	0
539	635	1	0
540	634	2	1
541	641	1	1
542	631	0	0
543	574	0	0
544	663	0	0
545	629	1	1
546	624	0	0
547	648	0	0
548	591	1	0
549	554	0	0
550	617	0	0
551	567	2	0
552	588	2	0
553	596	0	0
554	556	3	0
555	539	0	0
556	571	1	1
557	590	1	1
558	584	2	1
559	614	0	2
560	569	1	0
561	584	1	0
562	585	1	0
563	538	1	0
564	589	1	0
565	564	1	0
566	556	0	0
567	526	0	0
568	542	1	0
569	576	1	0
570	545	0	0
571	518	0	0
572	545	2	0
573	535	1	0
574	520	2	0
575	534	1	0
576	557	0	0
577	570	0	0
578	556	0	0
579	565	0	0
580	543	1	0
581	569	0	0
582	484	1	0
583	518	0	0
584	502	0	0
